UserID,Country,Language,RegDate,FirstPay,FirstAct,FirstSp,FirstCa,FirstGa,FirstPo,ApplicationID,Gender
1324454,250,6,2/1/2005,20050201,20050201,20050201,NULL,20050207,NULL,1,1
1324455,276,2,2/1/2005,20050209,20050209,20050209,NULL,NULL,NULL,3,1
1324456,276,2,2/1/2005,20050201,20050203,20050203,NULL,NULL,NULL,3,1
1324459,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324460,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324461,380,3,2/1/2005,20050425,20050425,20050425,NULL,NULL,NULL,1,1
1324465,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324466,40,2,2/1/2005,20050616,20050616,NULL,20050616,NULL,20050616,1,1
1324470,276,2,2/1/2005,20050205,20050205,20050205,NULL,NULL,NULL,3,1
1324471,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324473,250,6,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324474,276,2,2/1/2005,20050602,20050603,20050603,NULL,NULL,NULL,3,1
1324475,40,2,2/1/2005,20050609,20050609,20050609,NULL,NULL,NULL,1,1
1324476,276,2,2/1/2005,20050304,20050304,20050304,NULL,NULL,NULL,3,1
1324477,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324479,276,2,2/1/2005,20050203,20050208,20050208,NULL,NULL,NULL,3,1
1324482,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324483,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324484,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324489,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324490,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324491,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,0
1324492,250,6,2/1/2005,20050201,20050201,20050201,20050221,20050204,NULL,1,0
1324493,276,2,2/1/2005,20050203,20050204,20050204,NULL,NULL,NULL,3,1
1324494,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324495,724,4,2/1/2005,20050201,20050201,20050201,20050417,20050314,NULL,1,1
1324498,276,2,2/1/2005,20050204,20050205,20050205,NULL,NULL,NULL,1,1
1324500,250,1,2/1/2005,20050201,20050201,NULL,NULL,NULL,20050201,23,1
1324502,724,12,2/1/2005,20050315,20050315,20050315,NULL,NULL,NULL,1,1
1324503,300,8,2/1/2005,20050202,20050202,20050202,20050202,NULL,NULL,14,1
1324504,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324505,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324507,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324508,616,9,2/1/2005,20050201,20050203,20050203,NULL,NULL,NULL,1,1
1324509,208,11,2/1/2005,20050201,20050201,20050201,20050201,NULL,20050201,1,1
1324510,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324512,276,2,2/1/2005,20050204,20050216,20050216,NULL,NULL,NULL,3,1
1324517,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324519,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324521,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324523,40,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324524,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324525,276,2,2/1/2005,20050203,20050301,20050301,NULL,NULL,NULL,3,1
1324526,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324527,376,1,2/1/2005,20050201,20050201,20050201,20050826,NULL,NULL,24,1
1324529,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324533,40,2,2/1/2005,20050201,20050201,20050201,20050203,NULL,NULL,1,1
1324535,276,2,2/1/2005,20050423,20050425,20050425,NULL,NULL,NULL,3,1
1324537,250,6,2/1/2005,20050201,20050201,20050201,20050201,NULL,NULL,1,1
1324539,276,2,2/1/2005,20050203,20050207,20050207,NULL,NULL,NULL,3,1
1324540,208,11,2/1/2005,20050201,20050201,NULL,20050201,NULL,NULL,24,0
1324543,724,12,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,1,1
1324544,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324545,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324546,276,2,2/1/2005,20050208,20050208,20050208,NULL,NULL,NULL,3,1
1324549,300,8,2/1/2005,20050608,20050608,20050608,NULL,NULL,NULL,14,1
1324550,300,8,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324551,40,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,1,1
1324553,276,2,2/1/2005,20050201,20050202,20050202,NULL,NULL,NULL,3,1
1324554,276,2,2/1/2005,20050203,20050204,20050204,NULL,NULL,NULL,3,0
1324555,756,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324556,276,7,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324557,276,2,2/1/2005,20050217,20050211,20050211,NULL,NULL,NULL,1,1
1324559,276,2,2/1/2005,20050204,20050205,20050205,NULL,NULL,NULL,3,0
1324560,250,6,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324563,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324568,276,2,2/1/2005,20050318,20050319,20050319,NULL,NULL,NULL,3,1
1324571,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324572,724,4,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324573,616,9,2/1/2005,20050208,20050208,20050208,NULL,NULL,20050612,1,1
1324574,616,9,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,1,1
1324576,276,2,2/1/2005,20050204,20050205,20050205,NULL,NULL,NULL,1,1
1324577,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,0
1324578,276,2,2/1/2005,20050211,20050211,20050211,NULL,NULL,NULL,3,1
1324579,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324581,276,2,2/1/2005,20050211,20050220,20050220,NULL,NULL,NULL,3,1
1324583,208,11,2/1/2005,20050201,20050201,20050201,20050201,20050201,NULL,1,0
1324584,826,1,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324585,208,11,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324586,300,8,2/1/2005,20050201,20050201,20050201,20050205,NULL,NULL,14,1
1324591,792,7,2/1/2005,20050202,20050202,20050202,20050202,NULL,NULL,9,1
1324592,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324594,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324596,276,2,2/1/2005,20050204,20050210,20050210,NULL,NULL,NULL,3,1
1324599,276,2,2/1/2005,20050203,20050205,20050205,NULL,NULL,NULL,3,1
1324602,208,1,2/1/2005,20050201,20050201,20050219,NULL,NULL,20050201,1,1
1324604,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324605,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324607,792,7,2/1/2005,20050202,20050202,20050202,20050207,NULL,NULL,9,0
1324608,300,8,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,14,1
1324609,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324615,276,2,2/1/2005,20050205,20050205,20050205,20050206,20050302,NULL,1,1
1324616,724,4,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,1,1
1324617,752,5,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324619,250,6,2/1/2005,20050215,20050215,20050215,NULL,NULL,NULL,1,1
1324622,276,2,2/1/2005,20050207,20050207,20050207,NULL,NULL,NULL,3,1
1324624,40,2,2/1/2005,20050204,20050205,20050205,20050205,20050206,NULL,24,1
1324625,40,2,2/1/2005,20050205,20050205,20050205,20050217,NULL,NULL,1,1
1324629,276,2,2/1/2005,20050208,20050208,20050208,NULL,NULL,NULL,3,1
1324631,276,2,2/1/2005,20050205,20050205,20050205,NULL,NULL,NULL,3,1
1324632,705,1,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324634,380,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,1,1
1324635,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324636,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324637,276,2,2/1/2005,20050827,20050827,20050827,NULL,NULL,NULL,3,1
1324640,826,1,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324641,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324642,724,4,2/1/2005,20050208,20050208,20050208,NULL,NULL,NULL,1,1
1324643,276,2,2/1/2005,20050208,20050209,20050209,NULL,NULL,NULL,3,1
1324644,300,8,2/1/2005,20050201,20050201,20050201,NULL,20050520,NULL,1,1
1324649,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324651,276,2,2/1/2005,20050201,20050201,NULL,20050201,NULL,NULL,1,1
1324652,276,2,2/1/2005,20050203,20050204,20050204,NULL,NULL,NULL,3,0
1324656,276,2,2/1/2005,20050525,20050525,20050525,NULL,NULL,NULL,3,1
1324657,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324662,792,7,2/1/2005,20050201,20050201,20050201,NULL,20050610,NULL,9,1
1324663,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324665,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324669,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324670,276,2,2/1/2005,20050205,20050205,20050205,NULL,NULL,NULL,1,1
1324673,276,2,2/1/2005,20050209,20050210,20050210,NULL,NULL,NULL,3,0
1324674,208,11,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324675,208,11,2/1/2005,20050201,20050201,20050201,20050201,NULL,20050201,1,1
1324676,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324679,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,1,1
1324681,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324690,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324692,276,2,2/1/2005,20050425,20050425,20050425,NULL,NULL,NULL,3,1
1324693,616,9,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,1,1
1324699,792,7,2/1/2005,20050704,20050704,20050704,NULL,NULL,NULL,9,1
1324701,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324704,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324706,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324708,724,4,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324709,276,2,2/1/2005,20050202,20050202,20050202,NULL,NULL,NULL,3,1
1324710,724,4,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,1,1
1324711,276,2,2/1/2005,20050910,20050910,20050910,NULL,NULL,NULL,3,1
1324713,250,6,2/1/2005,20050201,20050201,20050201,20050202,NULL,NULL,1,0
1324716,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324717,300,8,2/1/2005,20050824,20050827,20050827,NULL,NULL,NULL,1,1
1324719,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324721,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,0
1324722,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324724,208,11,2/1/2005,20050201,20050201,20050209,NULL,NULL,20050201,23,1
1324725,276,2,2/1/2005,20050513,20050513,20050513,NULL,NULL,NULL,3,1
1324727,276,2,2/1/2005,20050204,20050206,20050206,NULL,NULL,NULL,3,1
1324729,276,2,2/1/2005,20050928,20050928,20050928,NULL,NULL,NULL,3,1
1324731,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324732,40,2,2/1/2005,20050201,20050201,20050201,NULL,20050202,NULL,1,0
1324735,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324736,300,8,2/1/2005,20050201,20050205,20050205,NULL,NULL,NULL,14,1
1324738,250,6,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324739,276,2,2/1/2005,20050204,20050204,20050204,20050213,NULL,NULL,1,1
1324740,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324741,276,2,2/1/2005,20050208,20050208,20050208,NULL,NULL,NULL,3,1
1324742,208,11,2/1/2005,20050201,20050201,20050330,NULL,NULL,20050201,23,0
1324745,276,2,2/1/2005,20050203,20050205,20050205,NULL,NULL,NULL,3,1
1324746,40,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324749,724,4,2/1/2005,20050201,20050201,20050201,20050418,20050418,NULL,1,1
1324752,380,3,2/1/2005,20050201,20050201,NULL,20050201,NULL,NULL,24,1
1324754,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324755,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324756,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324757,40,2,2/1/2005,20050201,20050201,20050201,NULL,20050209,NULL,1,1
1324758,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,0
1324761,276,2,2/1/2005,20050211,20050211,20050211,NULL,NULL,NULL,3,1
1324762,208,11,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324764,208,11,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324765,616,1,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324766,276,2,2/1/2005,20050203,20050205,20050205,NULL,NULL,NULL,1,1
1324768,724,4,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324771,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324772,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324773,276,2,2/1/2005,20050401,20050401,20050401,NULL,NULL,NULL,1,1
1324774,276,2,2/1/2005,20050204,20050205,20050205,NULL,NULL,NULL,3,1
1324775,792,7,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,9,1
1324777,40,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,4,1
1324780,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324782,40,2,2/1/2005,20050214,20050214,20050214,NULL,20050215,NULL,1,1
1324785,792,7,2/1/2005,20050623,20050624,NULL,NULL,NULL,20050624,9,1
1324786,40,2,2/1/2005,20050806,20050806,20050806,20050806,NULL,NULL,1,1
1324792,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324796,276,2,2/1/2005,20050219,20050221,20050221,NULL,NULL,NULL,3,1
1324798,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,0
1324800,276,2,2/1/2005,20050902,20050907,20050907,NULL,NULL,NULL,3,1
1324801,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324802,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324803,792,7,2/1/2005,20050202,20050202,20050202,NULL,20050607,NULL,9,1
1324805,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324806,276,2,2/1/2005,20050225,20050226,20050226,NULL,NULL,NULL,3,1
1324808,616,9,2/1/2005,20050211,20050211,20050211,20050312,20050723,NULL,1,1
1324814,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324815,616,1,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324816,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,1,1
1324820,724,4,2/1/2005,20050201,20050201,20050201,NULL,NULL,20050721,1,1
1324821,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,0
1324828,724,4,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324831,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324833,724,1,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324839,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324840,191,1,2/1/2005,20050201,20050201,20050201,20050201,NULL,NULL,1,1
1324841,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324842,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324843,250,6,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324844,792,7,2/1/2005,20050201,20050201,20050201,20050201,NULL,NULL,9,1
1324850,208,11,2/1/2005,20050201,20050201,NULL,20050201,NULL,NULL,1,1
1324851,208,11,2/1/2005,20050201,20050201,20050201,20050201,NULL,20050308,1,1
1324854,752,5,2/1/2005,20050520,20050520,20050520,NULL,NULL,20050520,1,1
1324857,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,0
1324858,300,8,2/1/2005,20050201,20050201,20050329,20050201,NULL,20050201,1,1
1324859,276,2,2/1/2005,20050216,20050216,20050216,NULL,NULL,NULL,1,1
1324861,792,7,2/1/2005,20050201,20050201,20050201,NULL,NULL,20050314,9,1
1324862,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324864,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324865,276,2,2/1/2005,20050205,20050205,20050205,NULL,NULL,NULL,3,1
1324866,616,9,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,1,1
1324867,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324868,792,7,2/1/2005,20050201,20050201,20050201,NULL,20050505,NULL,9,1
1324869,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324870,276,2,2/1/2005,20050208,20050209,20050209,NULL,NULL,NULL,3,1
1324871,276,2,2/1/2005,20050210,20050210,20050210,NULL,NULL,NULL,3,1
1324873,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324875,300,8,2/1/2005,20050201,20050202,20050202,NULL,NULL,NULL,14,1
1324879,276,2,2/1/2005,20050201,20050202,20050202,NULL,NULL,NULL,3,1
1324883,276,2,2/1/2005,20050201,20050201,20050201,20050212,20050202,NULL,1,1
1324887,276,2,2/1/2005,20050204,20050205,20050205,NULL,NULL,NULL,3,1
1324888,40,2,2/1/2005,20050201,20050201,20050201,20050202,NULL,NULL,1,1
1324890,208,11,2/1/2005,20050201,20050201,20050201,20050203,20050205,NULL,1,0
1324893,276,2,2/1/2005,20050202,20050202,20050202,NULL,NULL,NULL,3,1
1324895,250,6,2/1/2005,20050202,20050202,20050202,NULL,NULL,NULL,1,1
1324896,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324898,276,2,2/1/2005,20050204,20050206,20050206,NULL,NULL,NULL,3,1
1324899,300,8,2/1/2005,20050201,20050202,20050202,NULL,NULL,NULL,14,1
1324901,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324908,276,2,2/1/2005,20050205,20050206,20050206,NULL,NULL,NULL,3,1
1324910,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324911,792,7,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,9,1
1324914,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324916,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,0
1324917,276,2,2/1/2005,20050202,20050202,20050202,NULL,NULL,NULL,3,1
1324919,276,2,2/1/2005,20050810,20050810,20050810,NULL,NULL,NULL,3,1
1324921,348,1,2/1/2005,20050225,20050228,20050228,NULL,NULL,NULL,1,1
1324922,208,11,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,0
1324924,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324925,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324926,276,2,2/1/2005,20050208,20050208,20050208,NULL,NULL,NULL,3,1
1324927,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324931,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324932,276,2,2/1/2005,20050209,20050209,20050209,NULL,NULL,NULL,3,1
1324933,616,9,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,1,1
1324934,300,8,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324935,792,7,2/1/2005,20050201,20050201,20050201,20050218,20050616,NULL,9,1
1324939,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324942,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324943,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324946,250,6,2/1/2005,20050202,20050202,20050202,NULL,NULL,NULL,1,1
1324947,276,2,2/1/2005,20050408,20050408,20050408,NULL,NULL,NULL,3,1
1324948,276,2,2/1/2005,20050209,20050209,20050209,NULL,NULL,NULL,3,1
1324949,300,8,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,14,1
1324955,724,11,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,1
1324957,616,9,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,1,0
1324958,208,11,2/1/2005,20050201,20050201,NULL,NULL,NULL,20050201,23,1
1324962,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324963,276,2,2/1/2005,20050209,20050209,20050209,NULL,NULL,NULL,3,1
1324965,276,2,2/1/2005,20050202,20050202,20050202,NULL,NULL,NULL,3,1
1324967,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324971,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,1
1324974,276,2,2/1/2005,20050204,20050204,20050204,NULL,NULL,NULL,3,1
1324976,276,2,2/1/2005,20050203,20050204,20050204,NULL,NULL,NULL,3,1
1324977,276,2,2/1/2005,20050203,20050203,20050203,NULL,NULL,NULL,3,1
1324979,276,2,2/1/2005,20050201,20050201,20050201,NULL,NULL,NULL,3,0
1324980,792,7,2/1/2005,20050202,20050202,20050202,NULL,NULL,NULL,9,1
